id,minx,miny,maxx,maxy
727c90ac-0e02-47ae-92bd-2e3b41c6395c,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
e6eaab79-7209-46cd-b187-1046e302e8bb,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
d887144d-e7c5-4980-8fd4-28287ff875bb,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
ab910c9a-242f-47e2-8c3c-debbe256a724,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
17218a40-7753-4a1d-9bcc-f0ce632c3c2b,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
cfd6a60f-ec1e-491d-a885-e06d43990bd5,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
4c20a124-b320-4b64-a00c-5d4bc0f8e371,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
f2952136-69bc-4c31-bc21-a2e3919042a1,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
a97687cf-65db-4f34-ab2c-2ef7596a24ce,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
1ade603f-40d3-4eeb-b742-10e6b3e8aa49,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
48fff803-4104-49bc-b913-7467b7a5ffb5,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
1ef11325-beb4-4531-b422-573e121f4611,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
cfb53e32-1f83-409d-9607-78824445a678,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
5b9d2f32-7329-419a-9822-5d4cdfefe198,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
0c24ddd9-ddec-4ffa-9124-d12581f6c1ea,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
ecb880ff-5ed3-4715-8025-5c5f580ab0dd,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
ea71f1a3-862b-446e-8cd6-f05f938beb07,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
fddb9ff1-c3ec-48d3-b25d-72da64b7e493,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
6cb7952f-f365-475e-8e43-8f7798a0f4cd,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
c2a2ef5a-1030-42d0-90de-eb68e8d4b15d,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
20f3b8f0-bcf2-4497-a4b3-6f1ac51bc63c,-44.999999252948044,-1.0000000619208742,-46.50000161573023,-2.000002858892361
